,az_sect,alt_sect,az_rel,alt_rel,px_x,px_y,type,misc,out1,out2,az_total,alt_total,ref_x,ref_y,ref_az,ref_alt
31,0.0,0.0,0.0,-15.0,1137.5,2737.0,ref_point,,,,0.0,-15.0,1124.5,2736.662973839571,0.0,-15.0
32,0.0,0.0,-5.0,0.0,881.0,2003.0,ref_point,,,,-5.0,0.0,883.4813285241162,1999.5,-5.0,0.0
33,0.0,0.0,-5.0,-5.0,887.0,2243.0,ref_point,,,,-5.0,-5.0,887.0,2243.0,-4.954596911050975,43.67176501445161
34,0.0,0.0,-5.0,-10.0,893.0,2489.0,ref_point,,,,-5.0,-10.0,893.0,2489.0,-4.856002332740246,38.67176501445161
35,0.0,0.0,-5.0,-15.0,897.0,2740.0,ref_point,,,,-5.0,-15.0,897.0,2740.0,-4.757407754429519,33.67176501445161
36,0.0,0.0,-10.0,0.0,637.0,2009.0,ref_point,,,,-10.0,0.0,639.4165020328974,1999.5,-10.0,0.0
37,0.0,0.0,-10.0,-5.0,642.0,2249.0,ref_point,,,,-10.0,-5.0,642.0,2249.0,-9.954596911050974,43.573170436140884
38,0.0,0.0,-10.0,-10.0,648.0,2494.0,ref_point,,,,-10.0,-10.0,648.0,2494.0,-9.856002332740246,38.573170436140884
39,0.0,0.0,-10.0,-15.0,652.0,2747.0,ref_point,,,,-10.0,-15.0,652.0,2747.0,-9.757407754429517,33.573170436140884
40,0.0,-20.0,0.0,0.0,1131.0,3157.0,align,target_center,,,,,,,,
41,0.0,-20.0,0.0,0.0,1131.0,3128.0,align,target_top,,,,,,,,
42,0.0,-20.0,0.0,0.0,1132.0,3186.0,align,target_bottom,,,,,,,,
43,0.0,-20.0,0.0,0.0,1104.0,3157.0,align,target_left,,,,,,,,
44,0.0,-20.0,0.0,0.0,1158.0,3156.0,align,target_right,,,,,,,,
45,0.0,-20.0,0.0,0.0,,,calculate_and_record,target_pos_azalt_relaim,0.12034973603913615,-2.6339333356590724,0.0,-20.0,,,,
46,0.0,-20.0,0.0,0.0,,,calculate_and_record,target_center_calculated_from_edges,1131.4912224704756,3156.490903287584,0.0,-20.0,,,,
47,0.0,-20.0,0.0,-20.0,,,align,vertical_left,,,,,,,,
48,0.0,-20.0,0.0,-20.0,,,align,vertical_right,,,,,,,,
49,0.0,-20.0,0.0,-20.0,,,ref_point,crosshairs,,,0.0,-40.0,,,,
50,0.0,-20.0,0.0,-20.0,,,calculate_and_record,rotation_error_v_and_px_delta,,,0.0,-40.0,,,,
51,0.0,-20.0,0.0,-20.0,,,calculate_and_record,crosshairs,,,0.0,-40.0,,,,
52,0.0,-20.0,-15.0,0.0,304.0,3148.0,align,horizontal_top,,,,,,,,
53,0.0,-20.0,-15.0,0.0,299.0,3208.0,align,horizontal_bottom,,,,,,,,
54,0.0,-20.0,-15.0,0.0,302.0,3177.0,ref_point,crosshairs,,,-15.0,-20.0,302.0,3177.0,-14.485271950717951,-22.929717070591256
55,0.0,-20.0,-15.0,0.0,,,calculate_and_record,rotation_error_h_and_px_delta,1.332043501470094,0.016609095970747993,-15.0,-20.0,,,,
56,0.0,-20.0,-15.0,0.0,,,calculate_and_record,crosshairs,302.0,3177.0,-15.0,-20.0,,,,
57,0.0,-20.0,0.0,-5.0,1137.0,3459.0,ref_point,,,,0.0,-25.0,1124.5,2301.559596768585,0.0,-25.0
58,0.0,-20.0,0.0,-10.0,1146.0,3789.0,ref_point,,,,0.0,-30.0,1124.5,2631.677981267934,0.0,-30.0
59,0.0,-20.0,0.0,-15.0,,,ref_point,,,,0.0,-35.0,,,,
60,0.0,-20.0,-5.0,0.0,860.0,3162.0,ref_point,,,,-5.0,-20.0,860.0,3162.0,-4.4852719507179515,-22.7325279139698
61,0.0,-20.0,-5.0,-5.0,857.0,3465.0,ref_point,,,,-5.0,-25.0,857.0,3465.0,-4.386677372407224,-27.7325279139698
62,0.0,-20.0,-5.0,-10.0,855.0,3795.0,ref_point,,,,-5.0,-30.0,855.0,3795.0,-4.288082794096495,-32.732527913969804
63,0.0,-20.0,-5.0,-15.0,,,ref_point,,,,-5.0,-35.0,,,,
64,0.0,-20.0,-10.0,0.0,584.0,3170.0,ref_point,,,,-10.0,-20.0,584.0,3170.0,-9.485271950717951,-22.831122492280528
65,0.0,-20.0,-10.0,-5.0,572.0,3473.0,ref_point,,,,-10.0,-25.0,572.0,3473.0,-9.386677372407224,-27.831122492280528
66,0.0,-20.0,-10.0,-10.0,560.0,3802.0,ref_point,,,,-10.0,-30.0,560.0,3802.0,-9.288082794096496,-32.83112249228053
67,0.0,-20.0,-10.0,-15.0,,,ref_point,,,,-10.0,-35.0,,,,
68,-15.0,0.0,0.0,0.0,366.0,2005.0,align,target_center,,,,,,,,
69,-15.0,0.0,0.0,0.0,366.0,1979.0,align,target_top,,,,,,,,
70,-15.0,0.0,0.0,0.0,366.0,2031.0,align,target_bottom,,,,,,,,
71,-15.0,0.0,0.0,0.0,338.0,2006.0,align,target_left,,,,,,,,
72,-15.0,0.0,0.0,0.0,393.0,2005.0,align,target_right,,,,,,,,
73,-15.0,0.0,0.0,0.0,,,calculate_and_record,target_pos_azalt_relaim,-0.37058439209216937,-0.10576923076923078,-15.0,0.0,,,,
74,-15.0,0.0,0.0,0.0,,,calculate_and_record,target_center_calculated_from_edges,366.0,2005.490909090909,-15.0,0.0,,,,
75,-15.0,0.0,-15.0,0.0,,,align,horizontal_top,,,,,,,,
76,-15.0,0.0,-15.0,0.0,,,align,horizontal_bottom,,,,,,,,
77,-15.0,0.0,-15.0,0.0,,,ref_point,crosshairs,,,-30.0,0.0,,,,
78,-15.0,0.0,-15.0,0.0,,,calculate_and_record,rotation_error_h_and_px_delta,,,-30.0,0.0,,,,
79,-15.0,0.0,-15.0,0.0,,,calculate_and_record,crosshairs,,,-30.0,0.0,,,,
80,-15.0,0.0,0.0,-20.0,365.0,3116.0,align,vertical_left,,,,,,,,
81,-15.0,0.0,0.0,-20.0,424.0,3105.0,align,vertical_right,,,,,,,,
82,-15.0,0.0,0.0,-20.0,392.0,3109.0,ref_point,crosshairs,,,-15.0,-20.0,392.0,3109.0,-14.976206078849257,-20.401552965701413
83,-15.0,0.0,0.0,-20.0,,,calculate_and_record,rotation_error_v_and_px_delta,1.3601413733644017,0.016662038965156757,-15.0,-20.0,,,,
84,-15.0,0.0,0.0,-20.0,,,calculate_and_record,crosshairs,391.0,3109.0,-15.0,-20.0,,,,
85,-15.0,0.0,0.0,-5.0,373.0,2269.0,ref_point,,,,-15.0,-5.0,373.0,2269.0,-15.271989813781442,-5.4015529657014145
86,-15.0,0.0,0.0,-10.0,382.0,2539.0,ref_point,,,,-15.0,-10.0,382.0,2539.0,-15.173395235470714,-10.401552965701415
87,-15.0,0.0,0.0,-15.0,386.0,2817.0,ref_point,,,,-15.0,-15.0,386.0,2817.0,-15.074800657159985,-15.401552965701415
88,-15.0,0.0,-5.0,0.0,81.0,2012.0,ref_point,,,,-20.0,0.0,839.4140480486631,1999.5,-20.0,0.0
89,-15.0,0.0,-5.0,-5.0,90.0,2282.0,ref_point,,,,-20.0,-5.0,90.0,2282.0,-20.271989813781442,-5.500147544012143
90,-15.0,0.0,-5.0,-10.0,98.0,2560.0,ref_point,,,,-20.0,-10.0,98.0,2560.0,-20.173395235470714,-10.500147544012142
91,-15.0,0.0,-5.0,-15.0,106.0,2841.0,ref_point,,,,-20.0,-15.0,106.0,2841.0,-20.074800657159987,-15.500147544012142
92,-15.0,0.0,-10.0,0.0,,,ref_point,,,,-25.0,0.0,,,,
93,-15.0,0.0,-10.0,-5.0,,,ref_point,,,,-25.0,-5.0,,,,
94,-15.0,0.0,-10.0,-10.0,,,ref_point,,,,-25.0,-10.0,,,,
95,-15.0,0.0,-10.0,-15.0,,,ref_point,,,,-25.0,-15.0,,,,
96,-15.0,-20.0,0.0,0.0,362.0,3142.0,align,target_center,,,,,,,,
97,-15.0,-20.0,0.0,0.0,362.0,3113.0,align,target_top,,,,,,,,
98,-15.0,-20.0,0.0,0.0,361.0,3172.0,align,target_bottom,,,,,,,,
99,-15.0,-20.0,0.0,0.0,333.0,3145.0,align,target_left,,,,,,,,
100,-15.0,-20.0,0.0,0.0,390.0,3140.0,align,target_right,,,,,,,,
101,-15.0,-20.0,0.0,0.0,,,calculate_and_record,target_pos_azalt_relaim,1.0486049725781283,0.593135149015069,-15.0,-20.0,,,,
102,-15.0,-20.0,0.0,0.0,,,calculate_and_record,target_center_calculated_from_edges,361.5,3142.5,-15.0,-20.0,,,,
103,-15.0,-20.0,0.0,-20.0,,,align,vertical_left,,,,,,,,
104,-15.0,-20.0,0.0,-20.0,,,align,vertical_right,,,,,,,,
105,-15.0,-20.0,0.0,-20.0,,,ref_point,crosshairs,,,-15.0,-40.0,,,,
106,-15.0,-20.0,0.0,-20.0,,,calculate_and_record,rotation_error_v_and_px_delta,,,-15.0,-40.0,,,,
107,-15.0,-20.0,0.0,-20.0,,,calculate_and_record,crosshairs,,,-15.0,-40.0,,,,
108,-15.0,-20.0,-15.0,0.0,,,align,horizontal_top,,,,,,,,
109,-15.0,-20.0,-15.0,0.0,,,align,horizontal_bottom,,,,,,,,
110,-15.0,-20.0,-15.0,0.0,,,ref_point,crosshairs,,,-30.0,-20.0,,,,
111,-15.0,-20.0,-15.0,0.0,,,calculate_and_record,rotation_error_h_and_px_delta,,,-30.0,-20.0,,,,
112,-15.0,-20.0,-15.0,0.0,,,calculate_and_record,crosshairs,,,-30.0,-20.0,,,,
113,-15.0,-20.0,0.0,-5.0,340.0,3452.0,ref_point,,,,-15.0,-25.0,340.0,3452.0,-13.95139502742187,-24.40686485098493
114,-15.0,-20.0,0.0,-10.0,319.0,3790.0,ref_point,,,,-15.0,-30.0,319.0,3790.0,-13.95139502742187,-29.40686485098493
115,-15.0,-20.0,0.0,-15.0,,,ref_point,,,,-15.0,-35.0,,,,
116,-15.0,-20.0,-5.0,0.0,66.0,3147.0,ref_point,,,,-20.0,-20.0,66.0,3147.0,-18.95139502742187,-19.40686485098493
117,-15.0,-20.0,-5.0,-5.0,36.0,3463.0,ref_point,,,,-20.0,-25.0,36.0,3463.0,-18.95139502742187,-24.40686485098493
118,-15.0,-20.0,-5.0,-10.0,2.0,3810.0,ref_point,,,,-20.0,-30.0,2.0,3810.0,-18.95139502742187,-29.40686485098493
119,-15.0,-20.0,-5.0,-15.0,,,ref_point,,,,-20.0,-35.0,,,,
120,-15.0,-20.0,-10.0,0.0,,,ref_point,,,,-25.0,-20.0,,,,
121,-15.0,-20.0,-10.0,-5.0,,,ref_point,,,,-25.0,-25.0,,,,
122,-15.0,-20.0,-10.0,-10.0,,,ref_point,,,,-25.0,-30.0,,,,
123,-15.0,-20.0,-10.0,-15.0,,,ref_point,,,,-25.0,-35.0,,,,
