xang_sect,yang_sect,xang_rel,yang_rel,x_rec,y_rec,type,misc,out1,out2,xang_total,yang_total,x_px,y_px,xang,yang
-15,-20,0,0,,,calculate_and_record,target_pos_xyangs_relaim,,,,,,,,
-15,-20,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
-15,-20,0,-20,611,3544,align,vertical_left,,,,,,,,
-15,-20,0,-20,655,3539,align,vertical_right,,,,,,,,
-15,-20,0,-20,633,3541,ref_point,center,,,,,,,,
-15,-20,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
-15,-20,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
-15,-20,-15,0,96,2693,align,horizontal_top,,,,,,,,
-15,-20,-15,0,91,2732,align,horizontal_bottom,,,,,,,,
-15,-20,-15,0,93,2712,ref_point,center,,,,,,,,
-15,-20,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
-15,-20,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
-15,-20,0,-5,659,2870,ref_point,,,,,,,,,
-15,-20,0,-10,652,3073,ref_point,,,,,,,,,
-15,-20,0,-15,643,3292,ref_point,,,,,,,,,
-15,-20,-5,0,488,2693,ref_point,,,,,,,,,
-15,-20,-5,-5,475,2882,ref_point,,,,,,,,,
-15,-20,-5,-10,462,3090,ref_point,,,,,,,,,
-15,-20,-5,-15,447,3316,ref_point,,,,,,,,,
-15,-20,-10,0,298,2703,ref_point,,,,,,,,,
-15,-20,-10,-5,279,2898,ref_point,,,,,,,,,
-15,-20,-10,-10,259,3109,ref_point,,,,,,,,,
-15,-20,-10,-15,236,3342,ref_point,,,,,,,,,
-15,-40,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
-15,-40,0,0,650,3519,align,target_center,,,,,,,,
-15,-40,0,0,652,3494,align,target_top,,,,,,,,
-15,-40,0,0,648,3546,align,target_bottom,,,,,,,,
-15,-40,0,0,629,3521,align,target_left,,,,,,,,
-15,-40,0,0,671,3517,align,target_right,,,,,,,,
-15,-40,0,0,,,calculate_and_record,target_pos_xyangs_relaim,,,,,,,,
-15,-40,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
-15,-40,0,-20,,,align,vertical_left,,,,,,,,
-15,-40,0,-20,,,align,vertical_right,,,,,,,,
-15,-40,0,-20,,,ref_point,center,,,,,,,,
-15,-40,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
-15,-40,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
-15,-40,-15,0,,,align,horizontal_top,,,,,,,,
-15,-40,-15,0,,,align,horizontal_bottom,,,,,,,,
-15,-40,-15,0,,,ref_point,center,,,,,,,,
-15,-40,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
-15,-40,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
-15,-40,0,-5,623,3797,ref_point,,,,,,,,,
-15,-40,0,-10,,,ref_point,,,,,,,,,
-15,-40,0,-15,,,ref_point,,,,,,,,,
-15,-40,-5,0,442,3529,ref_point,,,,,,,,,
-15,-40,-5,-5,400,3813,ref_point,,,,,,,,,
-15,-40,-5,-10,,,ref_point,,,,,,,,,
-15,-40,-5,-15,,,ref_point,,,,,,,,,
-15,-40,-10,0,222,3543,ref_point,,,,,,,,,
-15,-40,-10,-5,162,3837,ref_point,,,,,,,,,
-15,-40,-10,-10,,,ref_point,,,,,,,,,
-15,-40,-10,-15,,,ref_point,,,,,,,,,
-15,-60,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
-15,-60,0,0,,,align,target_center,,,,,,,,
-15,-60,0,0,,,align,target_top,,,,,,,,
-15,-60,0,0,,,align,target_bottom,,,,,,,,
-15,-60,0,0,,,align,target_left,,,,,,,,
-15,-60,0,0,,,align,target_right,,,,,,,,
-15,-60,0,0,,,calculate_and_record,target_pos_xyangs_relaim,,,,,,,,
-15,-60,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
-15,-60,0,-20,,,align,vertical_left,,,,,,,,
-15,-60,0,-20,,,align,vertical_right,,,,,,,,
-15,-60,0,-20,,,ref_point,center,,,,,,,,
-15,-60,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
-15,-60,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
-15,-60,-15,0,,,align,horizontal_top,,,,,,,,
-15,-60,-15,0,,,align,horizontal_bottom,,,,,,,,
-15,-60,-15,0,,,ref_point,center,,,,,,,,
-15,-60,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
-15,-60,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
-15,-60,0,-5,,,ref_point,,,,,,,,,
-15,-60,0,-10,,,ref_point,,,,,,,,,
-15,-60,0,-15,,,ref_point,,,,,,,,,
-15,-60,-5,0,,,ref_point,,,,,,,,,
-15,-60,-5,-5,,,ref_point,,,,,,,,,
-15,-60,-5,-10,,,ref_point,,,,,,,,,
-15,-60,-5,-15,,,ref_point,,,,,,,,,
-15,-60,-10,0,,,ref_point,,,,,,,,,
-15,-60,-10,-5,,,ref_point,,,,,,,,,
-15,-60,-10,-10,,,ref_point,,,,,,,,,
-15,-60,-10,-15,,,ref_point,,,,,,,,,
-15,-80,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
-15,-80,0,0,,,align,target_center,,,,,,,,
-15,-80,0,0,,,align,target_top,,,,,,,,
-15,-80,0,0,,,align,target_bottom,,,,,,,,
-15,-80,0,0,,,align,target_left,,,,,,,,
-15,-80,0,0,,,align,target_right,,,,,,,,
-15,-80,0,0,,,calculate_and_record,target_pos_xyangs_relaim,,,,,,,,
-15,-80,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
-15,-80,0,-20,,,align,vertical_left,,,,,,,,
-15,-80,0,-20,,,align,vertical_right,,,,,,,,
-15,-80,0,-20,,,ref_point,center,,,,,,,,
-15,-80,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
-15,-80,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
-15,-80,-15,0,,,align,horizontal_top,,,,,,,,
-15,-80,-15,0,,,align,horizontal_bottom,,,,,,,,
-15,-80,-15,0,,,ref_point,center,,,,,,,,
-15,-80,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
