,x_cm,y_cm,x_rec,y_rec,type,misc,out1,out2,x_px,y_px,xang,yang
0,,,,,camera_name,slayer wide 16 to 9 cal 4,,,,,,
1,,,,,lens_name,Native wide,,,,,,
2,,,,,zoom_factor,None,,,,,,
3,,,,,settings_notes,Nothing to say,,,,,,
4,,,4000.0,2250.0,cam_image_dimensions,,,,,,,
5,,,,,pixel_map_type,3d_degree_poly_fit_abs_from_center,,,,,,
6,,,,,orientation,landscape,,,,,,
7,,,,,quadrant,LB,,,,,,
8,,,,,distance,199.5,,,,,,
9,,,,,align_targets_radius,10,,,,,,
98,-220.0,-60.0,49.0,1661.0,ref_point,,,,49.0,1661.0,-47.76421431143798,-17.05050791756678
99,-220.0,-80.0,47.0,1840.0,ref_point,,,,47.0,1840.0,-47.760338821336,-22.14364400073858
100,-220.0,-100.0,46.0,2018.0,ref_point,,,,46.0,2018.0,-47.756462753754924,-26.893946772342005
101,-220.0,-122.1,43.0,2212.0,ref_point,,,,43.0,2212.0,-47.75217902734982,-31.71494843322211
102,-243.9,-20.0,,,ref_point,,,,,,,
103,-243.9,-40.0,,,ref_point,,,,,,,
104,-243.9,-60.0,,,ref_point,,,,,,,
105,-243.9,-80.0,,,ref_point,,,,,,,
106,-243.9,-100.0,,,ref_point,,,,,,,
107,-243.9,-122.1,,,ref_point,,,,,,,
