,x_cm,y_cm,x_rec,y_rec,type,misc,out1,out2,x_px,y_px,xang,yang
0,,,,,camera_name,sony a7 iii,,,,,,
1,,,,,lens_name,20mm Sony,,,,,,
2,,,,,zoom_factor,None,,,,,,
3,,,,,settings_notes,Nothing to say,,,,,,
4,,,6000.0,3376.0,cam_image_dimensions,,,,,,,
5,,,,,pixel_map_type,3d_degree_poly_fit_abs_from_center,,,,,,
6,,,,,orientation,landscape,,,,,,
7,,,,,quadrant,LB,,,,,,
8,,,,,distance,234.0,,,,,,
9,,,,,align_targets_radius,20.0,,,,,,
82,-180.0,-20.0,572.0,1953.0,ref_point,,,,572.0,1953.0,-37.6210824001045,-5.343412333134491
83,-180.0,-40.0,573.0,2223.0,ref_point,,,,573.0,2223.0,-37.60196215183577,-10.148552077711189
84,-180.0,-60.0,570.0,2492.0,ref_point,,,,570.0,2492.0,-37.58283207030403,-14.813936363955378
85,-180.0,-80.0,568.0,2764.0,ref_point,,,,568.0,2764.0,-37.563692152190114,-19.287071077607656
86,-180.0,-100.0,568.0,3034.0,ref_point,,,,568.0,3034.0,-37.54454239418023,-23.52887736458731
87,-180.0,-122.1,568.0,3333.0,ref_point,,,,568.0,3333.0,-37.52337046367511,-27.917159001708356
88,-200.0,0.0,298.0,1677.0,ref_point,,,,304.4181830601133,1687.5,-40.520539547649726,0.0
89,-200.0,-20.0,299.0,1950.0,ref_point,,,,299.0,1950.0,-40.568819129854866,-5.3736157396636495
90,-200.0,-40.0,301.0,2220.0,ref_point,,,,301.0,2220.0,-40.55123288458201,-10.178072519236698
91,-200.0,-60.0,300.0,2489.0,ref_point,,,,300.0,2489.0,-40.53363739728875,-14.84240990331338
92,-200.0,-80.0,298.0,2761.0,ref_point,,,,298.0,2761.0,-40.51603266400929,-19.314211558089376
93,-200.0,-100.0,297.0,3031.0,ref_point,,,,297.0,3031.0,-40.49841868078062,-23.554485659586046
94,-200.0,-122.1,295.0,3331.0,ref_point,,,,295.0,3331.0,-40.478944466739534,-27.940943883681204
95,-220.0,0.0,,,ref_point,,,,,,,
96,-220.0,-20.0,,,ref_point,,,,,,,
97,-220.0,-40.0,26.0,2219.0,ref_point,,,,26.0,2219.0,-43.261923356258855,-10.207587500446285
98,-220.0,-60.0,23.0,2489.0,ref_point,,,,23.0,2489.0,-43.24576078037708,-14.870875944983903
99,-220.0,-80.0,23.0,2760.0,ref_point,,,,23.0,2760.0,-43.229589623284255,-19.34134303005196
100,-220.0,-100.0,22.0,3032.0,ref_point,,,,22.0,3032.0,-43.21340988072293,-23.580083979197905
101,-220.0,-122.1,22.0,3331.0,ref_point,,,,22.0,3331.0,-43.19552127506192,-27.96471829649366
102,-243.9,-20.0,,,ref_point,,,,,,,
103,-243.9,-40.0,,,ref_point,,,,,,,
104,-243.9,-60.0,,,ref_point,,,,,,,
105,-243.9,-80.0,,,ref_point,,,,,,,
106,-243.9,-100.0,,,ref_point,,,,,,,
107,-243.9,-122.1,,,ref_point,,,,,,,
